# Chinese Lexicon with frequencies
# Format: word|part_of_speech|probability
# === animate (4014 words) ===
鲃鱼|animate|0.000316
鳤|animate|0.000527
鹮嘴鹬|animate|0.000158
一哄而起|animate|0.000105
一尘不染|animate|0.000158
一夔已足|animate|0.000158
一拨儿|animate|0.000211
一拥而入|animate|0.000105
一男半女|animate|0.000105
一众|animate|0.000369
一窝蜂|animate|0.000264
一胎化|animate|0.000264
一般人|animate|0.000211
一视同仁|animate|0.000158
一身两役|animate|0.000211
丁夫|animate|0.000369
七老八十|animate|0.000211
七叶树|animate|0.000158
七鳃鳗|animate|0.000158
丈人|animate|0.000316
三围|animate|0.000422
三宝鸟|animate|0.000158
三寸金莲|animate|0.000211
三教九流|animate|0.000005
三斑|animate|0.000316
三毛猫|animate|0.000158
三炮|animate|0.000369
三无人员|animate|0.000105
三牲|animate|0.000316
三色猫|animate|0.000158
三趾滨鹬|animate|0.000053
三趾翠鸟|animate|0.000053
三趾鸦雀|animate|0.000053
三趾鸥|animate|0.000158
三驾马车|animate|0.000105
三魂七魄|animate|0.000105
上年纪|animate|0.000264
上犬式|animate|0.000158
下犬式|animate|0.000158
不三不四|animate|0.000158
不中用|animate|0.000316
不伦|animate|0.000422
不孚众望|animate|0.000105
不对盘|animate|0.000316
不平则鸣|animate|0.000105
不悱不发|animate|0.000105
不愤不启|animate|0.000105
不成样子|animate|0.000105
不温不火|animate|0.000105
不约而同|animate|0.000158
不足月|animate|0.000211
丑鸭|animate|0.000316
世人|animate|0.000422
丘鹬|animate|0.000316
中亚夜鹰|animate|0.000053
中亚鸽|animate|0.000211
中国人|animate|0.000211
中国人大|animate|0.000105
中央空调|animate|0.000105
中女|animate|0.000422
中学生|animate|0.000211
中杓鹬|animate|0.000158
中毒者|animate|0.000316
中白鹭|animate|0.000158
中箭落马|animate|0.000158
中老年人|animate|0.000105
中联办|animate|0.000211
中华仙鹟|animate|0.000105
中华攀雀|animate|0.000053
中华民族|animate|0.000105
中华鹧鸪|animate|0.000053
中贼鸥|animate|0.000158
串串|animate|0.000422
串串狗|animate|0.000158
串串猫|animate|0.000158
丹顶鹤|animate|0.000211
主妇|animate|0.000527
主掌|animate|0.000369
主理人|animate|0.000316
主管|animate|0.000422
乏人照顾|animate|0.000105
乖乖|animate|0.000369
乖巧|animate|0.000369
九天仙女|animate|0.000158
九官鸟|animate|0.000158
九头鸟|animate|0.000264
乞伏|animate|0.000369
也有今天|animate|0.000316
乳儿|animate|0.000527
乳名|animate|0.000369
乳沟|animate|0.000422
乳猪|animate|0.000316
了如指掌|animate|0.000343
二世祖|animate|0.000211
二人世界|animate|0.000211
二哈|animate|0.000316
二宝|animate|0.000369
二愣子|animate|0.000211
二手房|animate|0.000264
二斑百灵|animate|0.000053
二杆子|animate|0.000264
二毛子|animate|0.000475
二百五|animate|0.000211
二货|animate|0.000369
于归之喜|animate|0.000158
五七|animate|0.000422
五步蛇|animate|0.000211
五短身材|animate|0.000105
五胡|animate|0.000369
五花大绑|animate|0.000105
五行八作|animate|0.000105
五马分尸|animate|0.000053
井底之蛙|animate|0.000105
亡羊补牢|animate|0.000053
交换生|animate|0.000211
京巴狗|animate|0.000158
京族|animate|0.000369
京华时报|animate|0.000211
亭亭玉立|animate|0.000185
亮眼人|animate|0.000211
人|animate|0.000633
人丁|animate|0.000422
人人|animate|0.000422
人来人往|animate|0.000105
人们|animate|0.000369
人杰|animate|0.000369
人传人|animate|0.000211
人像|animate|0.000422
人丛|animate|0.000369
人口|animate|0.000369
人喊马嘶|animate|0.000105
人均|animate|0.000369
人士|animate|0.000369
人寿年丰|animate|0.000105
人夫|animate|0.000369
人妻|animate|0.000422
人子|animate|0.000369
人定胜天|animate|0.000105
人家|animate|0.000527
人尖儿|animate|0.000211
人微言轻|animate|0.000105
人心|animate|0.000369
人心惶惶|animate|0.000158
人心难测|animate|0.000105
人性化|animate|0.000264
人意|animate|0.000369
人才|animate|0.000395
人才济济|animate|0.000105
人数|animate|0.000369
人机工程|animate|0.000105
人次|animate|0.000475
人氏|animate|0.000422
人民|animate|0.000369
人民代表|animate|0.000105
人民公敌|animate|0.000105
人民公社|animate|0.000105
人民战争|animate|0.000005
人民日报|animate|0.000158
人民网|animate|0.000211
人气|animate|0.000369
人治|animate|0.000369
人流|animate|0.000369
人满为患|animate|0.000105
人潮|animate|0.000369
人为|animate|0.000369
人物|animate|0.000369
人琴俱亡|animate|0.000105
人瑞|animate|0.000422
人尽可夫|animate|0.000158
人祸|animate|0.000369
人种|animate|0.000369
人称|animate|0.000369
人精|animate|0.000475
人缘|animate|0.000369
人老珠黄|animate|0.000211
人行|animate|0.000369
人走茶凉|animate|0.000105
人身|animate|0.000422
人造|animate|0.000369
人造纤维|animate|0.000105
人选|animate|0.000369
人头熟|animate|0.000264
人马|animate|0.000369
人龙|animate|0.000369
亻|animate|0.000580
什么事|animate|0.000264
什么人|animate|0.000211
仁人君子|animate|0.000211
仁人志士|animate|0.000211
今人|animate|0.000369
仔|animate|0.000580
仔畜|animate|0.000369
他|animate|0.000580
他人|animate|0.000422
仗势欺人|animate|0.000158
仙人跳|animate|0.000264
仙八色鸫|animate|0.000053
以人为本|animate|0.000105
以身相许|animate|0.000211
任人唯亲|animate|0.000105
任人唯贤|animate|0.000105
伊人|animate|0.000422
伊丽莎白|animate|0.000105
休氏树莺|animate|0.000053
伢|animate|0.000580
伢子|animate|0.000369
伢崽|animate|0.000369
伯母|animate|0.000475
伯父|animate|0.000422
伴郎|animate|0.000369
布局投手|animate|0.000105
位|animate|0.000527
低等动物|animate|0.000053
低能儿|animate|0.000211
低龄化|animate|0.000264
住海边|animate|0.000264
何许人|animate|0.000211
佛兰德|animate|0.000211
佛陀|animate|0.000369
作|animate|0.000580
作威作福|animate|0.000105
你我|animate|0.000422
佩奇|animate|0.000316
佬|animate|0.000633
佳人|animate|0.000422
佼佼者|animate|0.000211
来踪去迹|animate|0.000105
侉子|animate|0.000369
侏儒|animate|0.000422
侏蓝仙鹟|animate|0.000053
侗人|animate|0.000395
俄国人|animate|0.000211
俄罗斯人|animate|0.000105
俗世奇人|animate|0.000105
俗人|animate|0.000369
保人|animate|0.000369
保护伞|animate|0.000211
侠客|animate|0.000369
修行人|animate|0.000105
俯瞰图|animate|0.000158
个中人|animate|0.000211
个子|animate|0.000369
个展|animate|0.000422
倒果为因|animate|0.000053
倒霉蛋|animate|0.000237
倔头|animate|0.000369
候鸟|animate|0.000316
倜傥|animate|0.000369
倩影|animate|0.000422
倭人|animate|0.000422
值日生|animate|0.000211
假洋鬼子|animate|0.000105
伟人|animate|0.000369
偏偏|animate|0.000422
做牛做马|animate|0.000053
健在|animate|0.000527
偷天换日|animate|0.000105
偷汉子|animate|0.000316
偷鸡摸狗|animate|0.000105
杰|animate|0.000580
催肥剂|animate|0.000158
传奇人物|animate|0.000105
伤员|animate|0.000369
伤患|animate|0.000369
伤者|animate|0.000369
傻大个儿|animate|0.000105
傻白甜|animate|0.000264
僧俗|animate|0.000369
僧帽水母|animate|0.000005
优等生|animate|0.000211
兀鹫|animate|0.000316
兄长|animate|0.000369
凶悍|animate|0.000422
先师|animate|0.000422
先生|animate|0.000422
先知|animate|0.000369
先知先觉|animate|0.000105
先觉|animate|0.000369
光明正大|animate|0.000105
光棍|animate|0.000422
光棍儿|animate|0.000211
光棍节|animate|0.000316
光背地鸫|animate|0.000053
光头强|animate|0.000211
儿|animate|0.000580
儿女|animate|0.000475
儿戏|animate|0.000369
儿童|animate|0.000369
儿马|animate|0.000316
兔死狐悲|animate|0.000158
兔狲|animate|0.000369
兕|animate|0.000527
入伍生|animate|0.000264
入围者|animate|0.000264
内外兼修|animate|0.000105
内涵|animate|0.000422
全国人大|animate|0.000105
两面人|animate|0.000264
两面派|animate|0.000264
八仙桌|animate|0.000316
八哥|animate|0.000369
八哥狗|animate|0.000158
八婆|animate|0.000475
八旗子弟|animate|0.000158
八目鳗|animate|0.000158
八声杜鹃|animate|0.000105
公|animate|0.000422
公哈|animate|0.000316
公房|animate|0.000369
公犬|animate|0.000316
公众人物|animate|0.000105
公羊|animate|0.000316
公猫|animate|0.000316
公马|animate|0.000316
六畜|animate|0.000316
兵船|animate|0.000369
兼爱|animate|0.000422
冏卿|animate|0.000316
冏牧|animate|0.000316
冒失鬼|animate|0.000264
冕柳莺|animate|0.000158
冕雀|animate|0.000316
冠斑犀鸟|animate|0.000053
冠海雀|animate|0.000158
冠礼|animate|0.000475
冠纹柳莺|animate|0.000053
冠鱼狗|animate|0.000158
冠麻鸭|animate|0.000158
冢|animate|0.000606
冥寿|animate|0.000422
冰壶秋月|animate|0.000005
冰山美人|animate|0.000211
冰肌玉骨|animate|0.000053
冷艳|animate|0.000422
冷若冰霜|animate|0.000264
冷血|animate|0.000422
冷血动物|animate|0.000211
冷语冰人|animate|0.000105
凡人|animate|0.000369
凡夫|animate|0.000422
凡夫俗子|animate|0.000105
凯利|animate|0.000369
凯文|animate|0.000369
刀郎|animate|0.000369
刁民|animate|0.000369
分手代理|animate|0.000158
初中生|animate|0.000211
初学者|animate|0.000211
判若两人|animate|0.000211
别人|animate|0.000422
制服店|animate|0.000211
刺儿头|animate|0.000211
前人|animate|0.000369
前凸后翘|animate|0.000211
剔透|animate|0.000369
剩女|animate|0.000422
剩男|animate|0.000369
剪嘴鸥|animate|0.000158
割韭菜|animate|0.000316
剑嘴鹛|animate|0.000158
剑鸻|animate|0.000316
力士|animate|0.000369
力畜|animate|0.000316
功臣|animate|0.000369
加拿大雁|animate|0.000053
加菲猫|animate|0.000158
加西亚|animate|0.000211
助学金|animate|0.000211
勇士|animate|0.000369
动保|animate|0.000316
动物|animate|0.000316
动物油|animate|0.000158
动物界|animate|0.000158
动线|animate|0.000369
劳伦斯|animate|0.000105
劳役|animate|0.000316
势要|animate|0.000369
勤务员|animate|0.000211
勺嘴鹬|animate|0.000158
勺鸡|animate|0.000316
包袱底儿|animate|0.000211
匈奴|animate|0.000422
化学纤维|animate|0.000105
化纤|animate|0.000369
北京|animate|0.000369
北京人|animate|0.000211
北京猿人|animate|0.000105
北佬|animate|0.000422
北叟失马|animate|0.000211
北噪鸦|animate|0.000158
北朱雀|animate|0.000158
北椋鸟|animate|0.000158
北极鸥|animate|0.000158
北短翅莺|animate|0.000053
北红尾鸲|animate|0.000053
北蝗莺|animate|0.000211
北领角鸮|animate|0.000053
北鹨|animate|0.000316
北鹰鹃|animate|0.000158
匹夫|animate|0.000422
匹夫匹妇|animate|0.000158
十拿九稳|animate|0.000158
十日谈|animate|0.000316
千夫|animate|0.000369
千娇百媚|animate|0.000158
千里马|animate|0.000158
升斗小民|animate|0.000105
午|animate|0.000580
午马|animate|0.000369
半个人|animate|0.000264
半吊子|animate|0.000211
半老徐娘|animate|0.000158
半蹼鹬|animate|0.000158
南灰伯劳|animate|0.000053
博士|animate|0.000422
博士生|animate|0.000211
博美犬|animate|0.000158
卝|animate|0.000633
印度人|animate|0.000264
印度寿带|animate|0.000105
印支绿鹊|animate|0.000053
印欧人|animate|0.000211
危言耸听|animate|0.000105
卷羽鹈鹕|animate|0.000053
厄娃|animate|0.000422
厚嘴绿鸠|animate|0.000053
厚嘴苇莺|animate|0.000053
原人|animate|0.000369
原住民族|animate|0.000105
原始人|animate|0.000211
原鸽|animate|0.000316
叉尾鸥|animate|0.000158
反嘴鹬|animate|0.000158
反相|animate|0.000264
反面教员|animate|0.000211
受保人|animate|0.000211
受刑人|animate|0.000211
受难者|animate|0.000211
叟|animate|0.000633
口|animate|0.000633
口吻|animate|0.000369
口味|animate|0.000422
口子|animate|0.000369
口水佬|animate|0.000264
口络|animate|0.000316
口鼻|animate|0.000316
古人|animate|0.000527
古盗鸟|animate|0.000158
叫声|animate|0.000369
可人|animate|0.000422
可儿|animate|0.000422
可疑分子|animate|0.000105
台客|animate|0.000369
史前人|animate|0.000211
史努比|animate|0.000158
史奴比|animate|0.000158
史氏蝗莺|animate|0.000053
司徒|animate|0.000422
吃豆人|animate|0.000211
吃豆腐|animate|0.000264
吃软饭|animate|0.000264
各奔前程|animate|0.000105
各就各位|animate|0.000105
各族人民|animate|0.000105
合不来|animate|0.000316
吉士|animate|0.000422
吉娃娃|animate|0.000158
吊死鬼|animate|0.000264
吊车尾|animate|0.000211
同人|animate|0.000422
同性恋|animate|0.000211
同性恋者|animate|0.000105
同业|animate|0.000369
同砚|animate|0.000369
同窗|animate|0.000369
同行|animate|0.000369
同辈|animate|0.000369
同道者|animate|0.000211
同龄人|animate|0.000264
名|animate|0.000633
名分|animate|0.000369
名士|animate|0.000422
名字|animate|0.000422
名师|animate|0.000369
名花有主|animate|0.000158
名草有主|animate|0.000105
吐火罗人|animate|0.000105
向背|animate|0.000369
君子|animate|0.000422
吧托女|animate|0.000316
吴牛见月|animate|0.000053
吸蜜鸟|animate|0.000211
吾尔开希|animate|0.000158
周勃|animate|0.000264
周小川|animate|0.000211
周晬|animate|0.000527
周狗|animate|0.000316
呼之欲出|animate|0.000105
呼来喝去|animate|0.000211
呼噜|animate|0.000316
呼牛作马|animate|0.000053
呼牛呼马|animate|0.000053
和平鸟|animate|0.000158
咕|animate|0.000527
咩|animate|0.000606
咪|animate|0.000527
咮|animate|0.000527
咱们|animate|0.000369
咴|animate|0.000527
哀鸿遍野|animate|0.000105
品格|animate|0.000369
品质|animate|0.000369
品头论足|animate|0.000158
哇|animate|0.000580
哈基米|animate|0.000158
哈士奇|animate|0.000158
哈巴狗|animate|0.000185
哈萨克人|animate|0.000158
哞|animate|0.000527
员|animate|0.000475
哥特人|animate|0.000264
哥萨克|animate|0.000211
哲人|animate|0.000369
哲人其萎|animate|0.000105
唂|animate|0.000554
唐人|animate|0.000422
唐氏儿|animate|0.000211
唐璜|animate|0.000369
唯唯诺诺|animate|0.000158
啁啾|animate|0.000316
啄花鸟|animate|0.000158
问罪之师|animate|0.000105
问道于盲|animate|0.000158
哑子|animate|0.000369
啾|animate|0.000580
喀尔喀|animate|0.000211
善人|animate|0.000369
喇嘛|animate|0.000264
喜憨儿|animate|0.000211
喜新厌旧|animate|0.000316
喜当爹|animate|0.000316
喧宾夺主|animate|0.000053
丧家之犬|animate|0.000158
丧气鬼|animate|0.000264
丧门星|animate|0.000264
丧门神|animate|0.000264
单人|animate|0.000422
单口相声|animate|0.000158
单根独苗|animate|0.000105
单枪匹马|animate|0.000053
单身汪|animate|0.000211
单身汉|animate|0.000211
单身狗|animate|0.000211
